Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
6.4	consumer1	combined	Drop	0	0	0	0
6.4	router2	combined	Drop	0	0	0	0
6.4	router3	combined	Drop	0	0	0	0
6.4	router4	combined	Drop	0	0	0	0
6.5	consumer0	combined	Drop	0	0	0	0
6.5	consumer1	combined	Drop	0	0	0	0
6.5	router2	combined	Drop	0	0	0	0
6.5	router3	combined	Drop	0	0	0	0
6.5	router4	combined	Drop	0	0	0	0
6.6	consumer0	combined	Drop	0	0	0	0
6.6	consumer1	combined	Drop	0	0	0	0
6.6	router2	combined	Drop	0	0	0	0
6.6	router3	combined	Drop	0	0	0	0
6.6	router4	combined	Drop	0	0	0	0
6.7	consumer0	combined	Drop	0	0	0	0
6.7	consumer1	combined	Drop	0	0	0	0
6.7	router2	combined	Drop	0	0	0	0
6.7	router3	combined	Drop	0	0	0	0
6.7	router4	combined	Drop	0	0	0	0
6.8	consumer0	combined	Drop	0	0	0	0
6.8	consumer1	combined	Drop	0	0	0	0
6.8	router2	combined	Drop	0	0	0	0
6.8	router3	combined	Drop	0	0	0	0
6.8	router4	combined	Drop	0	0	0	0
6.9	consumer0	combined	Drop	0	0	0	0
6.9	consumer1	combined	Drop	0	0	0	0
6.9	router2	combined	Drop	0	0	0	0
6.9	router3	combined	Drop	0	0	0	0
6.9	router4	combined	Drop	0	0	0	0
7	consumer0	combined	Drop	0	0	0	0
7	consumer1	combined	Drop	0	0	0	0
7	router2	combined	Drop	0	0	0	0
7	router3	combined	Drop	0	0	0	0
7	router4	combined	Drop	0	0	0	0
7.1	consumer0	combined	Drop	0	0	0	0
7.1	consumer1	combined	Drop	0	0	0	0
7.1	router2	combined	Drop	0	0	0	0
7.1	router3	combined	Drop	0	0	0	0
7.1	router4	combined	Drop	0	0	0	0
7.2	consumer0	combined	Drop	0	0	0	0
7.2	consumer1	combined	Drop	0	0	0	0
7.2	router2	combined	Drop	0	0	0	0
7.2	router3	combined	Drop	0	0	0	0
7.2	router4	combined	Drop	0	0	0	0
7.3	consumer0	combined	Drop	0	0	0	0
7.3	consumer1	combined	Drop	0	0	0	0
7.3	router2	combined	Drop	0	0	0	0
7.3	router3	combined	Drop	0	0	0	0
7.3	router4	combined	Drop	0	0	0	0
7.4	consumer0	combined	Drop	0	0	0	0
7.4	consumer1	combined	Drop	0	0	0	0
7.4	router2	combined	Drop	0	0	0	0
7.4	router3	combined	Drop	0	0	0	0
